Topic,TokenCount,Words
0,5991,"προς αρισταρχος εξης λεγει γραφει αρισταρχ ζηνοδοτος αυτῳ γραφεται οπερ"
1,5890,"προς αρισταρχος εξης λεγει διπλη αρισταρχ γραφει ζηνοδοτος παρ λογος"
2,5896,"προς αρισταρχ λεγει γραφει ζηνοδοτος εξης αρισταρχος εχει οιον αυτῳ"
3,5946,"προς λεγει ζηνοδοτος εξης αρισταρχος αρισταρχ αλλοι διασταλτεον γραφει γραφεται"
4,5931,"προς αρισταρχος λεγει εξης αρισταρχ γραφει ζηνοδοτος οιον αυτῳ διος"
5,6067,"προς αρισταρχος εξης λεγει αρισταρχ ζηνοδοτος μονον εχει διασταλτεον ομοιως"
6,6089,"προς λεγει αρισταρχ αρισταρχος εξης οιον ζηνοδοτος αυτῳ εχει γραφει"
7,5965,"προς αρισταρχος εξης λεγει αρισταρχ γραφεται αλλοι αυτῳ γραφει ζηνοδοτος"
8,5816,"προς λεγει εξης αρισταρχος γραφει αυτῳ γραφεται διασταλτεον αρισταρχ ζηνοδοτος"
9,5976,"προς λεγει γραφει αρισταρχ ζηνοδοτος αυτῳ μοι εξης αρισταρχος βραχυ"
10,5945,"προς αρισταρχ λεγει ζηνοδοτος αρισταρχος εξης δυναται αλλοι εχει γραφεται"
11,5986,"προς αρισταρχος εξης αυτῳ λεγει αρισταρχ διος οιον γραφει διασταλτεον"
12,5903,"προς εξης ζηνοδοτος λεγει αρισταρχ αρισταρχος αυτῳ ομοιως βραχυ γραφει"
13,5964,"προς εξης αρισταρχος λεγει ζηνοδοτος πως εχει δυναται αρισταρχ οιον"
14,5995,"προς αρισταρχος εξης αρισταρχ δυναται γραφει λεγει προτερον ζηνοδοτος γραφεται"
15,5946,"προς αρισταρχ αρισταρχος λεγει εξης ζηνοδοτος αυτῳ γραφει εχει βραχυ"
