Topic,TokenCount,Words
0,201,"προς μεσον γενηται εξης περισπαστεον διος μονων ειτε βραχυ διασταλτεον"
1,209,"στικτεον ομοιως προς ποιητης προστακτικου εναντια βραχυ διασταλτεον εαν σελευκος"
2,213,"προς εως διασταλτεον εαν προπερισπαστεον αγαθων ιστεον λεγει αναγνωστεον ομοιϊον"
3,206,"εξης προς λεγει διασταλτεον ακουστεον νοητεον διπλη ουδεποτε ουδετερον απολεσθαι"
4,211,"διασταλτεον λογος προς εξης λεγει αναγνωστεον ομηρου κειται ερινεος πεδιου"
5,216,"δυναται στικτεον εαν εσται αρισταρχος δυναμενας προς γραπτεον λεγει ζευς"
6,203,"προς λογος εσται γραπτεον πολις σφισιν ρητεον ενταυθα συνδεσμος ημιστιχιον"
7,204,"προς στικτεον εαν μεσον αχαιων ακουειν θειον ανω ενθαδε καν"
8,192,"στικτεον προς αλληλοις διασταλτεον αρισταρχος τονδε αυτῳ αχαιους καπ θεους"
9,233,"προς εξης βαρυνεται στικτεον ζηνοδοτος τελος πτολεμαιος γενηται επανω ελενης"
10,201,"προς βραχυ διασταλτεον τελος επανω εξης λεγει αναγνωστεον αλλης εχοι"
11,197,"βραχυ παντα διασταλτεον αναιρει φασι παραιτητεον οιον τοιουτον ειατο λογος"
12,199,"προσεθηκεν βραχυ διασταλτεον αρισταρχος ζηνοδοτος μεσον προς αυτης γραπτεον νεφη"
13,211,"προς διπλη διασταλτεον εαν τελος ενα λεγει πλησιον πως ρητεον"
14,210,"διπλη βραχυ εξης αναγνωστεον διασταλτεον στιχος ποιητης παντα πυρ εμεριμνησεν"
15,224,"εκληπτεον βραχυ στιζωμεν γραφει προς γραπτεον φασι μεταλαμβανεται ζευς συναπτεον"
