Topic,TokenCount,Words
0,4643,"abbr:pers.pers ὁτι abbr:place.place ἐπι προς οὑτως ἀντι ἐστιν ἀπο οὐκ"
1,4614,"abbr:pers.pers ὁτι abbr:place.place ἐπι εἰς οὑτως ἐστι ἀντι προς ἀπο"
2,4684,"abbr:pers.pers ὁτι abbr:place.place ἐπι οὑτως ἐστι εἰς προς ἀπο ἀντι"
3,4650,"abbr:pers.pers ὁτι abbr:place.place ἐπι οὑτως ἐστι προς εἰς ἀντι οὐκ"
4,4563,"abbr:pers.pers ὁτι abbr:place.place ἐπι οὑτως προς ἀντι ἐστι εἰς οὐκ"
5,4714,"abbr:pers.pers ὁτι abbr:place.place ἐπι οὑτως προς ἀπο ἀντι ἐστι εἰς"
6,4703,"abbr:pers.pers ὁτι ἐπι abbr:place.place προς οὑτως ἀπο ἀντι εἰς ἐστιν"
7,4715,"abbr:pers.pers ὁτι abbr:place.place ἐπι ἀπο ἀντι προς οὑτως οὐκ ἐστι"
8,4606,"abbr:pers.pers ὁτι abbr:place.place οὑτως ἐπι εἰς ἀντι οὐκ προς ἐστι"
9,4579,"abbr:pers.pers ὁτι abbr:place.place οὑτως ἐπι εἰς ἐστι ἀντι προς ἀπο"
10,4623,"abbr:pers.pers ὁτι abbr:place.place ἐπι ἀντι ἀπο προς οὑτως ἐστι ἀλλ"
11,4551,"abbr:pers.pers ὁτι abbr:place.place οὑτως ἀντι ἐπι προς εἰς ἀπο ἐστι"
12,4657,"abbr:pers.pers ὁτι abbr:place.place ἐπι προς εἰς ἀντι οὑτως ἀπο οὐκ"
13,4602,"abbr:pers.pers ὁτι abbr:place.place ἐπι προς οὑτως ἐστι ἀπο ἀντι εἰς"
14,4696,"abbr:pers.pers ὁτι abbr:place.place ἐπι ἀντι ἀπο εἰς οὑτως ἐστι προς"
15,4585,"abbr:pers.pers ὁτι abbr:place.place ἐπι εἰς οὑτως ἀντι προς οὐκ ἀπο"
16,4713,"abbr:pers.pers ὁτι abbr:place.place ἐπι εἰς οὑτως προς ἀπο οὐκ ἐστι"
17,4676,"abbr:pers.pers ὁτι abbr:place.place οὑτως ἐπι ἀντι προς ἀπο ἐστι εἰς"
18,4625,"abbr:pers.pers ὁτι abbr:place.place ἐπι προς ἀντι οὑτως ἀπο οὐκ εἰς"
19,4576,"abbr:pers.pers ὁτι abbr:place.place ἐπι οὑτως ἐστι ἀντι εἰς προς ἀπο"
20,4620,"abbr:pers.pers ὁτι abbr:place.place ἐπι εἰς προς οὑτως ἀπο ἀντι ἐστι"
21,4583,"abbr:pers.pers ὁτι abbr:place.place ἐπι προς ἀπο ἀντι εἰς ἐστιν ἐστι"
22,4668,"abbr:pers.pers ὁτι abbr:place.place ἐπι ἀντι ἀπο εἰς οὑτως προς ἐστι"
23,4691,"abbr:pers.pers ὁτι abbr:place.place οὑτως ἐπι ἀντι εἰς προς ἀπο ἐστι"
24,4542,"abbr:pers.pers ὁτι abbr:place.place ἐπι οὑτως ἐστι προς ἀπο εἰς ἀντι"
