Topic,TokenCount,Words
0,37,"ομοιως περισπαται εναντιον ακουστεον εγηθησεν ελυπηθη δεινας μετελαμβανεν σχυν εμοι"
1,44,"διασταλτεον βραχυ γραφει εκει υπολαμβανω ποιητης πτολεμαιος ασκαλωνιτης ιου αιρεσεως"
2,46,"φασι ζευς ρητεον αθηνα αυτοις πανδαρος συνεβουλευσεν απεσταλκεν ειδως κακως"
3,42,"αχιλλευς αναιρει ποιητης αυτης τετελεσθαι τουτον τρεις υποθεσιν επιτηδες αγαθων"
4,36,"ηκα εσται συσταλτεον προς στιζωμεν θηριον τελευταιαν αμφιρεφεα ακλεα ανδρων"
5,29,"ωκα ελενης πρεπον μετ χρονου αποφερεται ϊεμ απολογουμ πυργον ιουσαν"
6,35,"στικτεον εξης εαν γεγονεν λογον τελος ερεω λεγομενον κειμενος υποτακτικου"
7,47,"ζηνοδοτος μελαντερον σακεσιν αρισταρχος μελανος πισσα στικτεον ιδιως ειρηκεν κεχρηται"
8,38,"προς φασι συνθετον ειτε ηρωας πληθυντικαις μετοχαισ λεγομεν ιεισι μονον"
9,27,"ελλειψιν δυναμενας ηκουε αριστοφανους αεπτους αψασθαι αψαιτο ϊαπτω ιφθιμους μεσον"
10,45,"ζηνοδοτος γραφει μετ ανελων προειρημενης βαρεως οργισθεις γυνη καειρ λεσβον"
11,28,"πως ενταυθα τριων εναντιου γλωσσαις ρητεον αραιαι ομρ αινιττεσθαι δηλουν"
12,48,"προπερισπαστεον τονον υιος εηος διαστελλωμεν ψυχας τιθεισι τριτα πληθυντικα οριστικα"
13,43,"ενθεν αιαντα ψιλως προενεκτεον απτοητουσ πνι ισχυρας εγεγραπτο απροσπελαστους αποδιδοασιν"
